PartitionKey,RowKey,Valdistrikt_namn,Vallokal_namn,Adress,Postnr,Postort,Latitud,Longitud,Adress_geo
6,606,Gustav Vasa 6 Atlasområdet,Adolf Fredriks Musikklasser,Västmannagatan 19,102 31,Stockholm,59.3376885,18.0510248,Västmannagatan 19
6,607,Gustav Vasa 7 Eastmaninstitutet,Adolf Fredriks musikklasser,Västmannagatan 19,102 31,Stockholm,59.3376885,18.0510248,Västmannagatan 19
6,608,Gustav Vasa 8 Kv Nejlikan mm,Matteusskolan,Vanadisvägen 16,113 46,Stockholm,59.3475283,18.0477497,Vanadisvägen 16
6,609,Gustav Vasa 9 Odenplan NV,Vasa Real,"Dalagatan 19, ing. A 7",102 39,Stockholm,59.3419986,18.044891,Dalagatan 19
7,701,Matteus 1 Vanadislunden V,Matteusskolan,Vanadisvägen 16,113 46,Stockholm,59.3475283,18.0477497,Vanadisvägen 16
7,702,Matteus 2 Norrtull,Matteusskolan,Vanadisvägen 16,113 46,Stockholm,59.3475283,18.0477497,Vanadisvägen 16
7,703,Matteus 3 Matteus kyrka,Gustav Vasa skola,Frejgatan 95,113 27,Stockholm,59.3434886,18.0430431,Frejgatan 95
7,704,Matteus 4 Norrtulls sjukhus,Matteusskolan,Vanadisvägen 16,113 46,Stockholm,59.3475283,18.0477497,Vanadisvägen 16
7,705,Matteus 5 Västeråsgatan mm,Rödabergsskolan,Upplandsgatan 100,113 44,Stockholm,59.3485845,18.0427593,Upplandsgatan 100
7,706,Matteus 6 Norra station,Rödabergsskolan,Upplandsgatan 100,113 44,Stockholm,59.3485845,18.0427593,Upplandsgatan 100
7,707,Matteus 7 Röda bergen Ö,Vasens äldreboende,Kadettgatan 2,113 33,Stockholm,59.3439401,18.0325846,Kadettgatan 2
7,708,Matteus 8 Röda bergen V,Vasens äldreboende,Kadettgatan 2,113 33,Stockholm,59.3439401,18.0325846,Kadettgatan 2
7,709,Matteus 9 Gästrikegatan mm,Vasa Real,"Dalagatan 19, ing. A 7",102 39,Stockholm,59.3419986,18.044891,Dalagatan 19
7,710,Matteus 10 Hälsingehöjden mm,Gustav Vasa Skola,Frejgatan 95,113 27,Stockholm,59.3434886,18.0430431,Frejgatan 95
7,711,Matteus 11 S:t Eriksplan,S:t Mikaelskapellet,Karlbergsvägen 64,113 35,Stockholm,59.3425487,18.0329541,Karlbergsvägen 64
7,712,Matteus 12 Birkastan Ö,S:t Mikaelskapellet,Karlbergsvägen 64,113 35,Stockholm,59.3425487,18.0329541,Karlbergsvägen 64
7,713,Matteus 13 Rörstrand Ö,Karlbergsskolan,Norrbackagatan 31-33,113 41,Stockholm,59.3434942,18.0316226,Norrbackagatan 31-33
7,714,Matteus 14 Birkastan S,Karlbergsskolan,Norrbackagatan 31-33,113 41,Stockholm,59.3434942,18.0316226,Norrbackagatan 31-33
7,715,Matteus 15 Karlbergs station,Karlbergsskolan,Norrbackagatan 31-33,113 41,Stockholm,59.3434942,18.0316226,Norrbackagatan 31-33
7,716,Matteus 16 Birkastan V,Karlbergsskolan,Norrbackagatan 31-33,113 41,Stockholm,59.3434942,18.0316226,Norrbackagatan 31-33
7,717,Matteus 17 Kv Skålet-Koppen,Karlbergsskolan,Norrbackagatan 31-33,113 41,Stockholm,59.3434942,18.0316226,Norrbackagatan 31-33
9,901,Engelbrekt 1 Humlegården,Engelbrektsskolan,Valhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Valhallavägen 76
9,902,Engelbrekt 2 Engelbrektsgatan mm,Engelbrektsskolan,Valhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Valhallavägen 76
9,903,Engelbrekt 3 Östra station,Engelbrektsskolan,Valhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Valhallavägen 76
9,904,Engelbrekt 4 Villastaden norra,Engelbrektsskolan,Valhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Valhallavägen 76
9,905,Engelbrekt 5 Eriksberg mm,Engelbrektsskolan,Valhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Valhallavägen 76
9,906,Engelbrekt 6 Lärkstan mm,Engelbrektsskolan,Vallhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Vallhallavägen 76
9,907,Engelbrekt 7 Kv Trasten mm,Engelbrektsskolan,Valhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Valhallavägen 76
9,908,Engelbrekt 8 Ruddammen,Engelbrektsskolan,Valhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Valhallavägen 76
9,909,Engelbrekt 9 Hjorthagen C,Hjorthagens Skola,Jägmästargatan 25,115 42,Stockholm,59.3540857,18.0977942,Jägmästargatan 25
9,910,Engelbrekt 10 Hjorthagen V-Värtahamn,Hjorthagens Skola,Jägmästargatan 25,115 42,Stockholm,59.3540857,18.0977942,Jägmästargatan 25
9,911,Engelbrekt 11 Lappkärrsberget,"Lappkärrsberget, Bokcaféet",Forskarbacken 14-16,104 05,Stockholm,59.3701867,18.0645984,Forskarbacken 14-16
9,912,Engelbrekt 12 Universitetet,Ekhagsstugan,Åminnevägen 25,104 05,Stockholm,59.3705908,18.0557494,Åminnevägen 25
9,913,Engelbrekt 13 Engelbrekt N,Engelbrektsskolan,Valhallavägen 76,114 27,Stockholm,59.3454053,18.0706782,Valhallavägen 76
9,914,Engelbrekt 14 Husarviken,Förskolan Sandön,Älgpassgatan 8,115 45,Stockholm,59.3566923,18.0877314,Älgpassgatan 8
1,1001,Hedvig Eleonora 1 Kv Rådjuret mm,Östra Reals Gymnasium,Karlavägen 79,114 59,Stockholm,59.3394655,18.0862233,Karlavägen 79
1,1002,Hedvig Eleonora 2 Kv Bävern mm,Östra Reals Gymnasium,Karlavägen 79,114 59,Stockholm,59.3394655,18.0862233,Karlavägen 79
1,1003,Hedvig Eleonora 3 Karlav. mitt mm,Östra Reals Gymnasium,Karlavägen 79,114 59,Stockholm,59.3394655,18.0862233,Karlavägen 79
1,1004,Hedvig Eleonora 4 Nybergsgatan mm,Östra Reals Gymnasium,Karlavägen 79,114 59,Stockholm,59.3394655,18.0862233,Karlavägen 79
1,1005,Hedvig Eleonora 5 Östermalmstorg,Östra Reals Gymnasium,Karlavägen 79,114 59,Stockholm,59.3394655,18.0862233,Karlavägen 79
1,1006,Hedvig Eleonora 6 Armémuseum,Östra Reals Gymnasium,Karlavägen 79,114 59,Stockholm,59.3394655,18.0862233,Karlavägen 79
1,1007,Hedvig Eleonora 7 Patentverket,Östra Reals gymnasium,Karlavägen 79,114 59,Stockholm,59.3394655,18.0862233,Karlavägen 79
1,1008,Hedvig Eleonora 8 Kv Guldfisken mm,Östra Reals Gymnasium,Karlavägen 79,114 59,Stockholm,59.3394655,18.0862233,Karlavägen 79
1,1101,Oscar 1 Djurgården,Djurgårdsskolan,Sollidsbacken 10,115 21,Stockholm,59.3236561,18.1062029,Sollidsbacken 10
1,1102,Oscar 2 Oscarskyrkan,Östermalmsskolan,Banérgatan 38-40,115 26,Stockholm,59.3372773,18.0952926,Banérgatan 38-40
1,1103,Oscar 3 Strandvägen mellersta mm,Hedvig Eleonora skola,Skeppargatan 42,114 54,Stockholm,59.3361768,18.0848382,Skeppargatan 42
1,1104,Oscar 4 Storgatan-Grevgatan mm,Hedvig Eleonora skola,Skeppargatan 42,114 54,Stockholm,59.3361768,18.0848382,Skeppargatan 42
1,1105,Oscar 5 Strandvägen östra mm,Östermalmsskolan,Banérgatan 38-40,115 26,Stockholm,59.3372773,18.0952926,Banérgatan 38-40
1,1106,Oscar 6 Karlaplan S,Östermalmsskolan,Banérgatan 38-40,115 26,Stockholm,59.3372773,18.0952926,Banérgatan 38-40
1,1107,Oscar 7 Karlaplan V,Hedvig Eleonora Skola,Skeppargatan 42,114 54,Stockholm,59.3361768,18.0848382,Skeppargatan 42
1,1108,Oscar 8 Fältöversten mm,Östermalms föreningsråd,Valhallavägen 148,115 24,Stockholm,59.339732,18.0933641,Valhallavägen 148
1,1109,Oscar 9 Gustav Adolfsparken,Gärdesskolan,Valhallavägen 177,115 53,Stockholm,59.339311,18.0986424,Valhallavägen 177
1,1110,Oscar 10 Karlaplan N,Östermalms föreningsråd,Valhallavägen 148,115 24,Stockholm,59.339732,18.0933641,Valhallavägen 148
1,1111,Oscar 11 Artillerigatan norra mm,Olaus Petri skola,Olaus Petrigatan 1-3,115 34,Stockholm,59.3458867,18.0908185,Olaus Petrigatan 1-3
1,1112,Oscar 12 Tessinparken V,Gärdesskolan,Valhallavägen 177,115 53,Stockholm,59.339311,18.0986424,Valhallavägen 177
1,1113,Oscar 13 Olaus Petris park mm,Olaus Petri skola,Olaus Petrigatan 1-3,115 34,Stockholm,59.3458867,18.0908185,Olaus Petrigatan 1-3
1,1114,Oscar 14 Tessinparken S,Östermalms föreningsråd,Valhallavägen 148,115 24,Stockholm,59.339732,18.0933641,Valhallavägen 148
1,1115,Oscar 15 Brantingsgatan mm,Olaus Petri Skola,Olaus Petrigatan 1-3,115 34,Stockholm,59.3458867,18.0908185,Olaus Petrigatan 1-3
1,1116,Oscar 16 Rindögatan mm,Olaus Petri Skola,Olaus Petrigatan 1-3,115 34,Stockholm,59.3458867,18.0908185,Olaus Petrigatan 1-3
1,1117,Oscar 17 Starrängsringen mm,Olaus Petri Skola,Olaus Petrigatan 1-3,115 34,Stockholm,59.3458867,18.0908185,Olaus Petrigatan 1-3
1,1118,Oscar 18 Studentbacken mm,Olaus Petri Skola,Olaus Petrigatan 1-3,115 34,Stockholm,59.3458867,18.0908185,Olaus Petrigatan 1-3
1,1119,Oscar 19 Sandhamnsgatan mm,Gärdesskolan,Valhallavägen 177,115 53,Stockholm,59.339311,18.0986424,Valhallavägen 177
1,1120,Oscar 20 Smedsbacken,Olaus Petri Skola,Olaus Petrigatan 1-3,115 34,Stockholm,59.3458867,18.0908185,Olaus Petrigatan 1-3
1,1121,Oscar 21 Ladugårdsgärdet,Gärdesskolan,Valhallavägen 177,115 53,Stockholm,59.339311,18.0986424,Valhallavägen 177
1,1122,Oscar 22 Kampementsbacken mm,Gärdesskolan,Valhallavägen 177,115 53,Stockholm,59.339311,18.0986424,Valhallavägen 177
1,1123,Oscar 23 Tessinparken Ö,Gärdesskolan,Valhallavägen 177,115 53,Stockholm,59.339311,18.0986424,Valhallavägen 177
1,1124,Oscar 24 Wittstocksgatan mm,Östermalmsskolan,Banérgatan 38-40,115 26,Stockholm,59.3372773,18.0952926,Banérgatan 38-40
1,1301,Maria 1 Ivar Lo:s park mm,Södermalmsskolan,Timmermansgatan 21,118 55,Stockholm,59.3178662,18.0606043,Timmermansgatan 21
1,1302,Maria 2 Mariaberget V,Södermalmsskolan,Timmermansgatan 21,118 55,Stockholm,59.3178662,18.0606043,Timmermansgatan 21
1,1303,Maria 3 Mariatorget V,Södermalmsskolan,Timmermansgatan 21,118 55,Stockholm,59.3178662,18.0606043,Timmermansgatan 21
1,1304,Maria 4 Bergsgruvan,Björngårdsskolan,Maria Prästgårdsgata 9,118 52,Stockholm,59.3161698,18.0646831,Maria Prästgårdsgata 9
1,1305,Maria 5 Mariatorget S,Björngårdsskolan,Maria Prästgårdsgata 9,118 52,Stockholm,59.3161698,18.0646831,Maria Prästgårdsgata 9
1,1306,Maria 6 Mariatorget C,Södermalmsskolan,Timmermansgatan 21,118 55,Stockholm,59.3178662,18.0606043,Timmermansgatan 21
1,1307,Maria 7 Skaraborgsgatan mm,Södra Latins Gymnasium,Skaraborgsgatan 14,118 93,Stockholm,59.3173384,18.0690965,Skaraborgsgatan 14
1,1308,Maria 8 Södra station N,Björngårdsskolan,Maria Prästgårdsgata 9,118 52,Stockholm,59.3161698,18.0646831,Maria Prästgårdsgata 9
1,1309,Maria 9 Södra station S,Eriksdalsskolan,Ringvägen 58-66,118 61,Stockholm,59.3081341,18.0633165,Ringvägen 58-66
1,1310,Maria 10 Södra station Ö,Södra Latins Gymnasium,Skaraborgsgatan 14,118 93,Stockholm,59.3173384,18.0690965,Skaraborgsgatan 14
1,1311,Maria 11 Södra station V,Björngårdsskolan,Maria Prästgårdsgata 9,118 52,Stockholm,59.3161698,18.0646831,Maria Prästgårdsgata 9
1,1312,Maria 12 Fredmansgatan mm,Södra Latins gymnasium,Skaraborgsgatan 14,118 93,Stockholm,59.3173384,18.0690965,Skaraborgsgatan 14
1,1313,Maria 13 Mariaberget Ö,Södermalmsskolan,Timmermansgatan 21,118 55,Stockholm,59.3178662,18.0606043,Timmermansgatan 21
1,1401,Högalid 1 Reimersholme N-Långholmen,Förskolan Sagan,Reimersholmsgatan 69,117 40,Stockholm,59.3174776,18.0191866,Reimersholmsgatan 69
1,1402,Högalid 2 Reimersholme S,Förskolan Sagan,Reimersholmsgatan 69,117 40,Stockholm,59.3174776,18.0191866,Reimersholmsgatan 69
1,1403,Högalid 3 Heleneborgsgatan norra,Högalids Församlingssal,Högalids kyrkväg 11,102 71,Stockholm,59.3170843,18.0373627,Högalids kyrkväg 11
1,1404,Högalid 4 Högalidsgatan östra mm,Kristinehovs Malmgård,Kristinehovsgatan 2,117 29,Stockholm,59.3182494,18.0414081,Kristinehovsgatan 2
1,1405,Högalid 5 Bergsund S,Högalidsskolan,Folkskolegatan 13,117 35,Stockholm,59.3162699,18.0317519,Folkskolegatan 13
1,1406,Högalid 6 Pålsundsparken,Högalidsskolan,Folkskolegatan 13,117 35,Stockholm,59.3162699,18.0317519,Folkskolegatan 13
1,1407,Högalid 7 Hornstull,Tellus Fritidscenter,Lignagatan 8,117 34,Stockholm,59.3153508,18.0369814,Lignagatan 8
1,1408,Högalid 8 Bergsund N,Högalidsskolan,Folkskolegatan 13,117 35,Stockholm,59.3162699,18.0317519,Folkskolegatan 13
1,1409,Högalid 9 Högalidsparken,Kristinehovs malmgård,Kristinehovsgatan 2,117 29,Stockholm,59.3182494,18.0414081,Kristinehovsgatan 2
1,1410,Högalid 10 Drakenberg,Tellus Fritidscenter,Lignagatan 8,117 34,Stockholm,59.3153508,18.0369814,Lignagatan 8
1,1411,Högalid 11 Zinkensdamm N,Globala gymnasiet,Hornskroken 2,117 28,Stockholm,59.3165565,18.0475631,Hornskroken 2
1,1412,Högalid 12 Skinnarviksparken,Globala gymnasiet,Hornskroken 2,117 28,Stockholm,59.3165565,18.0475631,Hornskroken 2
1,1413,Högalid 13 Zinkensdamm Ö,Södermalmsskolan,Timmermansgatan 21,118 55,Stockholm,59.3178662,18.0606043,Timmermansgatan 21
1,1414,Högalid 14 Zinkensdamm IP,Globala gymnasiet,Hornskroken 2,117 28,Stockholm,59.3165565,18.0475631,Hornskroken 2
1,1415,Högalid 15 Södersjukhuset,Eriksdalsskolan,Ringvägen 58-66,118 61,Stockholm,59.3081341,18.0633165,Ringvägen 58-66
1,1416,Högalid 16 Kv Svärdet,Mariaskolan,Ringvägen 23,118 53,Stockholm,59.3150759,18.0521433,Ringvägen 23
1,1417,Högalid 17 Tobaksmonopolet mm,Mariaskolan,Ringvägen 23,118 53,Stockholm,59.3150759,18.0521433,Ringvägen 23
1,1418,Högalid 18 Lundagatan södra mm,Globala gymnasiet,Hornskroken 2,117 28,Stockholm,59.3165565,18.0475631,Hornskroken 2
1,1419,Högalid 19 Heleneborg,Högalids församlingssal,Högalids kyrkväg 11,102 71,Stockholm,59.3170843,18.0373627,Högalids kyrkväg 11
1,1420,Högalid 20 Folkskolegatan mm,Högalidsskolan,Folkskolegatan 13,117 35,Stockholm,59.3162699,18.0317519,Folkskolegatan 13
1,1421,Högalid 21 Tanto,Kulltorps äldreboende,Tantogatan 19,118 42,Stockholm,59.3112276,18.0504787,Tantogatan 19
1,1501,Katarina 1 Björns Trädgård,Katarina Församlingssal,Högbergsgatan 15 A,116 20,Stockholm,59.316968,18.0759734,Högbergsgatan 15 A
1,1502,Katarina 2 Mosebacke,Katarina Församlingssal,Högbergsgatan 15 A,116 20,Stockholm,59.316968,18.0759734,Högbergsgatan 15 A
1,1503,Katarina 3 Katarina kyrka,Katarina Norra Skola,Tjärhovsgatan 15-17,116 21,Stockholm,59.3158695,18.0811665,Tjärhovsgatan 15-17
1,1504,Katarina 4 Axel Landquists park,Katarina Församlingssal,Högbergsgatan 15 A,116 20,Stockholm,59.316968,18.0759734,Högbergsgatan 15 A
1,1505,Katarina 5 Bondegatan västra mm,Åsö Gymnasium,Blekingegatan 55,118 94,Stockholm,59.3106763,18.0746939,Blekingegatan 55
1,1506,Katarina 6 Nytorgsgatan-Bondegatanmm,Katarina Norra Skola,Tjärhovsgatan 15-17,116 21,Stockholm,59.3158695,18.0811665,Tjärhovsgatan 15-17
1,1507,Katarina 7 Kv Linjalen mm,Åsö Gymnasium,Blekingegatan 55,118 94,Stockholm,59.3106763,18.0746939,Blekingegatan 55
1,1508,Katarina 8 Medborgarplatsen-Skrapan,Åsö Gymnasium,Blekingegatan 55,118 94,Stockholm,59.3106763,18.0746939,Blekingegatan 55
1,1509,Katarina 9 Helgalunden,Åsö gymnasium,Blekingegatan 55,118 94,Stockholm,59.3106763,18.0746939,Blekingegatan 55
1,1510,Katarina 10 Eriksdal V,Eriksdalsskolan,Ringvägen 58-66,118 61,Stockholm,59.3081341,18.0633165,Ringvägen 58-66
1,1511,Katarina 11 Rosenlundsparken,Åsö gymnasium,Blekingegatan 55,118 94,Stockholm,59.3106763,18.0746939,Blekingegatan 55
1,1512,Katarina 12 Eriksdal Ö,Eriksdalsskolan,Ringvägen 58-66,118 61,Stockholm,59.3081341,18.0633165,Ringvägen 58-66
1,1513,Katarina 13 Rosenlund,Eriksdalsskolan,Ringvägen 58-66,118 61,Stockholm,59.3081341,18.0633165,Ringvägen 58-66
1,1514,Katarina 14 Bjurholmsplan mm,Katarina Södra Skola,Katarina Bangata 41,116 39,Stockholm,59.3110562,18.0833172,Katarina Bangata 41
1,1515,Katarina 15 Ölandsgatan mm,Katarina Södra skola,Katarina Bangata 41,116 39,Stockholm,59.3110562,18.0833172,Katarina Bangata 41
1,1516,Katarina 16 Blekingegatan östra mm,Åsö Gymnasium,Blekingegatan 55,118 94,Stockholm,59.3106763,18.0746939,Blekingegatan 55
1,1517,Katarina 17 Gotlandsgatan östra mm,Katarina Södra Skola,Katarina Bangata 41,116 39,Stockholm,59.3110562,18.0833172,Katarina Bangata 41
1,1518,Katarina 18 Nytorget,Katarina Södra Skola,Katarina Bangata 41,116 39,Stockholm,59.3110562,18.0833172,Katarina Bangata 41
1,1519,Katarina 19 Nackas hörna,Åsö gymnasium,Blekingegatan 55,118 94,Stockholm,59.3106763,18.0746939,Blekingegatan 55
1,1520,Katarina 20 Ringen,Eriksdalsskolan,Ringvägen 58-66,118 61,Stockholm,59.3081341,18.0633165,Ringvägen 58-66
1,1701,Sofia 1 Mandelparken,Sofiaskolan,Skånegatan 117,116 35,Stockholm,59.3132301,18.0924581,Skånegatan 117
1,1702,Sofia 2 Åsöberget,Sofiaskolan,Skånegatan 117,116 35,Stockholm,59.3132301,18.0924581,Skånegatan 117
1,1703,Sofia 3 Sofia kyrka,Katarina Södra skola,Katarina Bangata 41,116 39,Stockholm,59.3110562,18.0833172,Katarina Bangata 41
1,1704,Sofia 4 Stig Claessons Park-Fjällg.,Sofia Församlingssal,Borgmästargatan 11,116 29,Stockholm,59.3136581,18.0870106,Borgmästargatan 11
1,1705,Sofia 5 Sågargatan mm,Sofiaskolan,Skånegatan 117,116 35,Stockholm,59.3132301,18.0924581,Skånegatan 117
1,1706,Sofia 6 Luma,Sjöstadsskolan,Hammarby allé 74-76,120 64,Stockholm,59.3036673,18.0966298,Hammarby allé 74-76
1,1707,Sofia 7 Kv Vitbetan,Frans Schartaus Gymnasium,Bohusgatan 24-26,116 67,Stockholm,59.306839,18.0814756,Bohusgatan 24-26
1,1708,Sofia 8 Hammarby Allé Ö,Sjöstadsskolan,Hammarby Allé 74-76,120 64,Stockholm,59.3036673,18.0966298,Hammarby Allé 74-76
1,1709,Sofia 9 Skanstull,Frans Schartaus Gymnasium,Bohusgatan 24-26,116 67,Stockholm,59.306839,18.0814756,Bohusgatan 24-26
1,1710,Sofia 10 Vintertullen,Frans Schartaus Gymnasium,Bohusgatan 24-26,116 67,Stockholm,59.306839,18.0814756,Bohusgatan 24-26
1,1711,Sofia 11 Barnängen,Sofiaskolan,Skånegatan 117,116 35,Stockholm,59.3132301,18.0924581,Skånegatan 117
1,1712,Sofia 12 Danviksklippan-Henriksdal,Danvik Center,Hästholmsvägen 28,131 30,Nacka,59.3125836,18.108769,Hästholmsvägen 28
1,1713,Sofia 13 Sickla udde,Lugnets skola,Lugnets allé 66,120 68,Stockholm,59.3053049,18.10711,Lugnets allé 66
1,1714,Sofia 14 Sickla kanal,Sjöstadsskolan,Hammarby Allé 74-76,120 64,Stockholm,59.3036673,18.0966298,Hammarby Allé 74-76
1,1715,Sofia 15 Mårtensdal,Sjöstadsskolan,Hammarby allé 74-76,120 64,Stockholm,59.3036673,18.0966298,Hammarby allé 74-76
1,1716,Sofia 16 Sickla Park,Lugnets skola,Lugnets allé 66,120 68,Stockholm,59.3053049,18.10711,Lugnets allé 66
1,1717,Sofia 17 Lugnet,Lugnets skola,Lugnets allé 66,120 68,Stockholm,59.3053049,18.10711,Lugnets allé 66
1,1718,Sofia 18 Rutger Fuchsgatan mm,Frans Schartaus gymnasium,Bohusgatan 24-26,116 67,Stockholm,59.306839,18.0814756,Bohusgatan 24-26
1,1719,Sofia 19 Blecktornet,Frans Schartaus gymnasium,Bohusgatan 24-26,116 67,Stockholm,59.306839,18.0814756,Bohusgatan 24-26
1,1720,Sofia 20 Klippgatan mm,Sofia församlingssal,Borgmästargatan 11,116 29,Stockholm,59.3136581,18.0870106,Borgmästargatan 11
1,1721,Sofia 21 Sickla kaj,Sjöstadsskolan,Hammarby allé 74-76,120 64,Stockholm,59.3036673,18.0966298,Hammarby allé 74-76
1,1801,Kungsholm 1 Ture Nermans gränd mm,Kungsholmens Gymnasium,Hantverkargatan 67-69,112 38,Stockholm,59.3300547,18.0347186,Hantverkargatan 67-69
1,1802,Kungsholm 2 Pontonjärparken,Kungsholmens Gymnasium,Hantverkargatan 67-69,112 38,Stockholm,59.3300547,18.0347186,Hantverkargatan 67-69
1,1803,Kungsholm 3 Celsiusgatan mm,S:t Eriks gymnasium,Polhemsgatan 35,104 20,Stockholm,59.3347537,18.0370624,Polhemsgatan 35
1,1804,Kungsholm 4 S:t Eriks sjukhus,S:t Eriks Gymnasium,Polhemsgatan 35,104 20,Stockholm,59.3347537,18.0370624,Polhemsgatan 35
1,1805,Kungsholm 5 Polishuset,Kungsholmens gymnasium,Hantverkargatan 67-69,112 38,Stockholm,59.3300547,18.0347186,Hantverkargatan 67-69
1,1806,Kungsholm 6 Kungsholmstorg V,Eiraskolan,Parmätargatan 10,112 24,Stockholm,59.3281094,18.0469582,Parmätargatan 10
1,1807,Kungsholm 7 Kungsholmstorg Ö,Eiraskolan,Parmmätargatan 10,112 24,Stockholm,59.3281094,18.0469582,Parmmätargatan 10
1,1808,Kungsholm 8 Piperska muren,Eiraskolan,Parmmätargatan 10,112 24,Stockholm,59.3281094,18.0469582,Parmmätargatan 10
1,1809,Kungsholm 9 Kungsklippan mm,Eiraskolan,Parmmätargatan 10,112 24,Stockholm,59.3281094,18.0469582,Parmmätargatan 10
1,1810,Kungsholm 10 Stadshuset,Eiraskolan,Parmmätargatan 10,112 24,Stockholm,59.3281094,18.0469582,Parmmätargatan 10
1,1811,Kungsholm 11 Barnhusviken,S:t Eriks Gymnasium,Polhemsgatan 35,104 20,Stockholm,59.3347537,18.0370624,Polhemsgatan 35
1,1812,Kungsholm 12 Rådhuset,Eiraskolan,Parmätargatan 10,112 24,Stockholm,59.3281094,18.0469582,Parmätargatan 10
1,1813,Kungsholm 13 John Ericssonsgatan mm,Kungsholmens gymnasium,Hantverkargatan 67-69,112 38,Stockholm,59.3300547,18.0347186,Hantverkargatan 67-69
1,1901,S:t Göran 1 Fredhäll S,Klastorpsskolan,Atterbomsvägen 1,112 58,Stockholm,59.326828,18.0111072,Atterbomsvägen 1
1,1902,S:t Göran 2 Fredhäll N,Kungsholmens västra gymn,Konradsbergsgatan 1,112 59,Stockholm,59.3289338,18.0139941,Konradsbergsgatan 1
1,1903,S:t Göran 3 Fredhäll V,Kungsholmens västra gymn,Konradsbergsgatan 1,112 59,Stockholm,59.3289338,18.0139941,Konradsbergsgatan 1
